106,63,105
123,88,104
104,141,123
123,142,88
2,273,357
105,144,145
89,105,63
89,144,105
229,358,274
274,358,359
359,403,377
1,415,418
90,63,106
90,58,63
413,419,414
75,59,74
74,87,75
75,87,104
104,88,75
2,142,251
251,273,2
392,356,391
392,419,376
391,414,392
392,414,419
122,87,103
122,141,104
104,87,122
164,123,141
297,229,274
275,297,298
298,297,274
144,89,143
1,418,420
407,421,413
413,414,407
407,414,408
409,403,417
409,418,404
417,420,409
409,420,418
66,57,3
60,58,64
58,90,64
338,357,273
376,357,338
338,392,376
356,392,338
356,338,318
273,295,318
318,338,273
142,123,228
228,251,142
123,164,228
242,263,264
162,22,184
163,164,141
140,162,163
163,184,164
162,184,163
141,122,163
163,122,140
144,143,185
185,143,4
275,298,299
274,359,319
319,298,274
417,403,402
402,359,358
403,359,402
421,407,416
1,421,416
416,415,1
403,409,378
377,403,378
361,360,377
377,378,361
105,145,124
106,105,124
124,107,106
36,92,109
80,82,65
65,70,80
3,60,61
61,66,3
60,64,61
61,64,69
76,64,90
69,64,76
415,416,411
411,405,397
406,405,411
385,56,7
367,56,385
391,375,390
390,414,391
408,414,390
294,318,295
250,249,271
205,20,226
226,20,249
273,251,296
250,295,296
296,295,273
23,162,140
140,24,23
23,22,162
182,22,23
118,100,117
21,20,205
205,184,21
21,184,22
186,185,207
230,185,4
4,229,230
229,297,230
207,185,230
40,146,167
298,319,300
300,299,298
320,47,300
300,47,299
320,300,339
339,300,319
377,360,339
339,359,377
339,319,359
239,215,238
259,260,238
259,238,237
237,238,215
262,263,240
283,284,262
48,47,320
301,47,48
192,193,171
170,171,150
362,361,379
379,361,378
404,395,394
397,395,410
415,411,410
410,411,397
410,418,415
404,418,410
410,395,404
384,395,397
283,260,282
343,51,52
364,343,52
35,92,36
146,40,39
39,40,168
66,61,71
71,65,82
69,65,71
71,61,69
91,109,92
107,109,91
91,76,90
91,90,106
106,107,91
69,76,78
78,65,69
70,65,78
336,316,14
401,400,408
408,390,401
401,390,373
406,400,399
412,400,406
406,411,412
412,411,416
412,416,407
412,407,408
408,400,412
311,331,312
374,12,373
374,390,375
373,390,374
373,12,11
11,372,10
293,294,295
317,294,293
356,318,337
318,294,337
317,316,337
337,294,317
206,228,164
205,226,206
206,184,205
164,184,206
15,316,317
14,316,15
317,293,16
16,293,17
16,15,317
292,15,16
270,16,17
292,16,270
240,263,241
241,219,218
241,263,242
242,219,241
217,239,240
240,241,217
217,241,218
243,219,242
220,219,243
120,138,25
25,138,24
120,25,26
26,25,121
139,24,140
140,122,139
139,25,24
121,25,139
139,122,103
103,121,139
160,138,159
160,181,182
159,180,160
160,180,181
161,23,24
24,138,161
138,160,161
182,23,161
161,160,182
179,180,158
158,180,159
137,138,120
159,138,137
100,118,119
120,26,119
119,137,120
118,137,119
66,73,62
57,66,62
74,59,62
59,57,62
183,22,182
183,21,22
167,146,166
166,146,145
166,187,167
186,187,166
144,185,165
185,186,165
186,166,165
165,145,144
165,166,145
252,231,207
207,230,252
252,297,275
252,230,297
208,186,207
207,231,208
208,187,186
208,231,43
301,302,278
278,302,303
299,47,46
46,47,301
239,238,261
261,238,260
240,239,261
261,262,240
261,260,283
283,262,261
309,286,285
285,284,309
285,262,284
263,262,285
285,264,263
285,286,264
51,343,342
342,343,324
323,302,322
323,342,324
322,342,323
303,302,323
340,48,320
320,339,340
340,339,360
321,302,301
301,48,321
322,302,321
173,193,194
194,195,173
194,193,214
213,237,214
214,192,213
193,192,214
214,215,194
214,237,215
171,193,172
172,150,171
172,173,152
193,173,172
128,150,151
151,172,152
150,172,151
196,217,218
363,51,362
362,379,363
52,51,363
382,394,395
382,381,394
393,379,378
404,394,393
393,409,404
393,378,409
397,405,398
398,384,397
56,384,398
7,56,398
398,405,7
55,384,56
55,56,367
367,383,55
55,383,54
307,284,283
283,282,307
307,282,306
324,343,344
344,325,324
344,364,345
343,364,344
345,364,365
54,383,365
306,282,305
305,325,306
345,365,366
366,365,383
366,346,345
347,346,366
366,383,367
367,347,366
367,385,368
368,347,367
128,151,129
97,31,96
32,31,80
33,95,32
32,96,31
95,96,32
80,70,32
32,70,33
146,39,147
145,146,147
147,124,145
67,73,66
66,71,67
67,71,82
82,72,67
33,70,79
70,78,79
77,78,76
77,91,92
76,91,77
13,336,14
13,334,12
10,372,371
372,351,371
370,387,371
371,351,370
400,401,388
388,399,400
10,371,9
9,371,387
9,388,10
399,388,9
9,387,8
8,399,9
386,399,8
386,8,7
7,405,386
386,405,406
406,399,386
332,312,331
333,312,332
310,330,331
310,286,309
310,309,329
329,330,310
310,331,311
311,286,310
331,330,350
350,332,331
351,332,350
370,351,350
350,349,370
330,349,350
313,312,333
14,15,315
315,15,292
12,334,353
372,11,353
353,11,12
272,293,295
272,295,250
250,271,272
272,271,18
18,17,272
17,293,272
316,336,355
355,337,316
356,337,355
391,356,355
355,375,391
228,206,227
251,228,227
227,296,251
250,296,227
227,249,250
227,226,249
227,206,226
248,17,18
248,270,17
220,199,198
198,219,220
199,177,198
218,219,198
244,243,265
242,264,265
265,243,242
179,199,200
200,199,220
135,134,157
135,118,117
136,137,118
136,135,157
118,135,136
157,158,136
136,158,159
159,137,136
100,119,27
27,119,26
74,62,68
68,62,73
102,26,121
102,121,103
102,27,26
81,72,82
81,82,80
80,31,81
30,31,97
30,81,31
72,81,30
97,98,30
98,29,30
42,208,43
187,208,42
253,252,275
231,252,253
210,233,211
234,235,211
211,233,234
236,258,259
259,237,236
236,237,213
213,235,236
281,282,260
281,260,259
259,258,281
281,305,282
48,340,49
322,321,49
49,321,48
128,127,149
127,126,149
149,150,128
170,150,149
148,39,168
148,169,170
168,169,148
170,149,148
148,149,126
108,109,107
195,196,175
152,173,174
174,153,152
174,173,195
195,175,174
176,177,156
157,134,156
178,177,199
178,158,157
157,156,178
178,156,177
178,199,179
179,158,178
197,177,176
197,196,218
218,198,197
197,198,177
176,175,197
197,175,196
239,217,216
217,196,216
216,196,195
216,215,239
194,215,216
216,195,194
53,364,52
52,381,53
53,365,364
54,365,53
53,382,54
381,382,53
52,363,380
380,381,52
380,363,379
379,393,380
394,381,380
380,393,394
395,384,396
396,382,395
384,55,396
54,382,396
396,55,54
325,305,304
324,325,304
304,323,324
303,323,304
327,307,306
345,346,326
326,344,345
325,344,326
346,327,326
306,325,326
326,327,306
328,346,347
328,327,346
369,368,385
369,385,7
369,349,368
7,8,369
8,387,369
369,387,370
370,349,369
36,127,110
110,35,36
110,127,128
128,129,110
130,129,151
130,153,131
152,153,130
130,151,152
94,95,33
113,96,95
95,94,113
93,79,78
78,77,93
92,35,93
93,77,92
354,374,375
336,13,354
12,374,354
354,13,12
375,355,354
354,355,336
10,388,389
389,388,401
389,401,373
389,11,10
373,11,389
292,270,291
291,315,292
311,312,288
312,313,288
288,313,289
14,315,335
335,13,14
334,13,335
352,334,333
352,353,334
333,332,352
352,332,351
352,351,372
372,353,352
201,200,222
222,202,201
201,180,179
179,200,201
181,180,201
201,202,181
222,200,221
221,200,220
220,243,221
221,243,244
85,27,101
27,102,101
101,68,85
99,29,98
99,98,117
117,100,99
73,67,83
83,67,72
72,30,83
83,30,29
189,169,168
168,40,189
209,42,43
209,233,210
43,231,44
231,253,44
299,46,276
275,299,276
276,253,275
255,256,234
234,233,255
278,256,277
301,278,277
277,255,254
256,255,277
277,46,301
254,46,277
234,256,257
258,236,257
257,235,234
257,236,235
191,171,170
170,169,191
191,192,171
305,281,280
303,304,280
280,304,305
280,281,258
50,342,322
322,49,50
51,342,50
362,51,50
341,340,360
341,49,340
341,50,49
362,50,341
341,361,362
360,361,341
39,148,38
38,148,126
37,126,127
37,127,36
37,38,126
108,38,37
36,109,37
109,108,37
131,153,132
117,98,116
116,133,134
116,135,117
134,135,116
307,327,308
284,307,308
308,328,329
327,328,308
329,309,308
309,284,308
348,349,330
348,330,329
329,328,348
368,349,348
347,368,348
348,328,347
34,93,35
79,93,34
33,79,34
34,94,33
111,110,129
35,110,111
111,34,35
94,34,111
96,113,114
114,132,133
114,113,131
131,132,114
112,113,94
112,111,129
94,111,112
129,130,112
112,130,131
131,113,112
270,248,269
269,291,270
311,288,287
287,265,264
287,286,311
264,286,287
244,265,266
266,288,289
265,287,266
266,287,288
315,291,290
289,313,290
19,248,18
19,225,248
18,271,19
19,271,249
249,20,19
20,225,19
86,102,103
86,101,102
68,101,86
74,68,86
103,87,86
86,87,74
29,99,28
28,27,85
100,27,28
28,99,100
73,83,84
84,68,73
85,68,84
84,28,85
84,83,29
29,28,84
188,209,210
42,209,188
169,189,190
190,191,169
190,188,210
189,188,190
210,211,190
233,209,232
232,44,254
232,209,43
43,44,232
254,255,232
232,255,233
45,46,254
45,276,46
254,44,45
45,44,253
253,276,45
279,257,256
279,278,303
279,256,278
258,257,279
303,280,279
279,280,258
125,38,108
124,147,125
125,147,39
39,38,125
107,124,125
125,108,107
153,174,154
154,132,153
154,175,176
154,174,175
134,133,155
133,132,155
132,154,155
155,154,176
176,156,155
155,156,134
97,96,115
96,114,115
115,98,97
115,116,98
